name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,actual_price
Mahindra XUV500,2022,665452,178953,CNG,Individual,Manual,Third Owner,31.77,1745,175.3,326.3,4,775006.9759244834
Hyundai i20,2012,516147,15256,CNG,Individual,Manual,Fourth & Above Owner,31.35,2754,176.78,145.8,6,681774.302656049
Mahindra XUV500,2020,1098476,82561,LPG,Dealer,Manual,First Owner,16.78,1426,91.99,173.4,5,1366366.075123274
Tata Nexon,2018,579463,22608,Diesel,Trustmark Dealer,Automatic,Second Owner,15.7,1823,134.08,302.66,7,797267.0898146027
Ford Ecosport,2011,821689,171114,Diesel,Dealer,Manual,First Owner,24.89,1083,114.13,174.3,4,1212284.0422493815
Hyundai Creta,2012,256141,102954,Diesel,Dealer,Manual,First Owner,29.29,2200,174.79,133.82,6,379595.7327490836
Maruti Swift,2017,964751,5214,Petrol,Individual,Automatic,First Owner,18.96,2136,59.23,237.87,4,1365009.4011778987
Tata Nexon,2006,50000,174292,Diesel,Trustmark Dealer,Automatic,First Owner,29.67,1464,174.32,235.34,6,64856.65117553699
Renault Duster,2014,842229,115743,Petrol,Individual,Automatic,Second Owner,21.95,2733,175.72,304.55,5,1250578.217407759
Mahindra XUV500,2018,207213,134274,LPG,Dealer,Manual,Second Owner,11.93,2769,119.04,132.62,7,289870.79711816163
Toyota Innova,2018,769522,58895,Petrol,Individual,Manual,Third Owner,21.84,2679,179.7,125.17,7,907341.9024736858
Volkswagen Polo,2016,50000,45202,Electric,Individual,Manual,Fourth & Above Owner,15.2,2791,198.67,235.25,4,60429.19712546022
Volkswagen Polo,2010,176486,140930,Diesel,Dealer,Automatic,First Owner,26.97,2262,101.45,140.41,5,250606.95885565787
Hyundai Creta,2012,50000,193245,Electric,Individual,Manual,First Owner,28.2,1486,102.67,115.1,7,71188.5442151115
Volkswagen Polo,2013,297532,78980,Petrol,Individual,Automatic,First Owner,30.71,1003,66.09,318.55,7,374651.26159712224
Maruti Swift,2007,50000,31736,Petrol,Individual,Automatic,Third Owner,23.85,2533,149.79,268.99,4,70935.02543967954
Tata Nexon,2008,50000,152399,Diesel,Dealer,Manual,Second Owner,11.07,2773,139.78,110.8,4,60223.50932373878
Volkswagen Polo,2007,818268,171925,Petrol,Dealer,Automatic,Third Owner,11.39,1963,111.03,325.25,7,1141235.5697045517
Skoda Rapid,2015,90708,142708,Petrol,Dealer,Automatic,First Owner,14.76,2154,114.62,346.92,4,126534.08585049928
Mahindra XUV500,2018,414234,46659,CNG,Trustmark Dealer,Automatic,Third Owner,16.69,2518,188.86,160.48,4,496340.0942251209
Renault Duster,2006,799154,117305,LPG,Trustmark Dealer,Automatic,Third Owner,24.74,2914,106.29,136.48,7,1116340.8458534933
Hyundai i20,2020,831143,53012,Electric,Trustmark Dealer,Automatic,Second Owner,26.7,2463,126.37,323.21,7,1187013.6365812598
Ford Ecosport,2016,453141,70832,CNG,Trustmark Dealer,Manual,Second Owner,15.6,1793,56.96,152.8,5,601468.1427728739
Mahindra XUV500,2017,341326,116101,Electric,Dealer,Automatic,Fourth & Above Owner,29.1,2142,147.78,320.59,5,449378.0806370337
Ford Ecosport,2008,684525,111383,LPG,Dealer,Automatic,First Owner,14.95,1262,53.52,299.12,5,857672.6794091461
Hyundai Creta,2012,1044528,194885,Diesel,Individual,Manual,First Owner,16.07,2994,119.36,299.5,6,1553364.000549129
Hyundai i20,2013,983537,47932,LPG,Dealer,Manual,Fourth & Above Owner,17.73,1951,79.55,267.72,5,1176150.875194044
Ford Ecosport,2017,350324,55563,LPG,Individual,Manual,Third Owner,27.86,824,165.51,260.23,5,522191.5242087005
Ford Ecosport,2022,1200351,73524,Electric,Individual,Automatic,Third Owner,20.33,1060,126.61,264.63,6,1764783.391396501
Mahindra XUV500,2015,375111,163696,CNG,Trustmark Dealer,Automatic,Second Owner,20.37,1298,104.48,280.24,6,472482.7537227288
Maruti Swift,2019,549004,23465,Electric,Individual,Automatic,Fourth & Above Owner,28.59,1959,106.9,313.33,6,802553.0672554629
Volkswagen Polo,2021,993661,186955,Diesel,Individual,Automatic,Third Owner,20.81,2675,80.29,148.11,4,1468946.0669144243
Skoda Rapid,2010,488215,29277,Petrol,Trustmark Dealer,Manual,Third Owner,29.65,2583,126.06,140.9,5,670737.5904116122
Mahindra XUV500,2021,1382562,117853,CNG,Dealer,Manual,Second Owner,13.87,2419,181.74,99.76,7,2009105.7760690013
Hyundai i20,2013,140030,77344,Petrol,Trustmark Dealer,Manual,Second Owner,14.88,1857,175.06,210.03,5,209760.13987877825
Maruti Swift,2008,50000,152662,Petrol,Trustmark Dealer,Automatic,Second Owner,21.64,2667,82.77,242.89,6,73393.8345757139
Kia Seltos,2015,858428,125927,Electric,Dealer,Automatic,Fourth & Above Owner,11.18,1540,146.72,307.93,7,1262535.9127623227
Hyundai i20,2011,1144626,18206,LPG,Dealer,Manual,Second Owner,33.86,1731,154.28,272.93,6,1646363.5577702778
Kia Seltos,2015,1054995,47714,Electric,Dealer,Manual,Second Owner,25.67,1395,115.47,195.12,6,1405376.7029658663
Maruti Baleno,2017,547185,138527,Diesel,Dealer,Automatic,Second Owner,14.67,1923,123.72,275.56,7,659885.3407724864
Kia Seltos,2006,50000,165707,LPG,Trustmark Dealer,Manual,Fourth & Above Owner,24.14,2653,199.45,137.93,6,69248.47906858039
Tata Nexon,2005,354210,13729,CNG,Dealer,Automatic,First Owner,25.93,849,172.45,303.5,6,529262.06091039
Hyundai Creta,2015,192775,54027,CNG,Dealer,Automatic,Third Owner,23.14,2578,67.7,114.21,5,289157.1749753825
Skoda Rapid,2018,384649,161297,CNG,Trustmark Dealer,Manual,Second Owner,32.87,2651,143.23,221.63,4,461791.3555293679
Toyota Innova,2019,521790,117716,LPG,Dealer,Automatic,Fourth & Above Owner,21.42,989,127.79,103.34,6,651330.0310601998
Maruti Baleno,2009,156768,37398,LPG,Trustmark Dealer,Manual,Fourth & Above Owner,33.29,2519,116.72,235.36,5,228628.22521682875
Hyundai Creta,2009,160411,19892,Petrol,Trustmark Dealer,Automatic,Second Owner,20.55,2916,182.23,310.01,5,203904.16289297093
Volkswagen Polo,2013,831784,52663,LPG,Trustmark Dealer,Manual,Second Owner,23.9,1926,158.61,240.93,6,1129855.9375234663
Kia Seltos,2014,337225,147068,Diesel,Individual,Manual,Second Owner,17.62,1567,161.5,326.35,4,471544.7613523102
Toyota Innova,2010,164567,72841,CNG,Individual,Manual,First Owner,22.27,1178,85.79,251.87,5,219873.4206081997
Hyundai i20,2014,50000,179260,CNG,Individual,Manual,Third Owner,23.26,2545,118.98,221.98,7,66231.56804068871
Maruti Swift,2007,314744,134268,Electric,Trustmark Dealer,Automatic,Third Owner,11.07,841,161.14,145.97,6,434888.82406005386
Hyundai Creta,2014,544598,182355,LPG,Trustmark Dealer,Manual,Third Owner,11.17,1193,148.27,197.51,4,804307.3991776338
Renault Duster,2010,775467,63523,Diesel,Dealer,Automatic,First Owner,11.28,2115,63.14,257.01,6,1013153.6413238028
Toyota Innova,2015,228954,48418,Electric,Individual,Automatic,Third Owner,12.66,1523,197.28,135.54,7,280318.124474345
Tata Nexon,2022,210843,34526,CNG,Trustmark Dealer,Manual,Fourth & Above Owner,10.5,2277,57.51,348.31,7,263196.6156219816
Ford Ecosport,2021,1109150,21413,LPG,Dealer,Automatic,Third Owner,18.85,2445,125.78,110.87,4,1238480.387828535
Maruti Swift,2022,540614,47942,Petrol,Dealer,Manual,Second Owner,16.32,1423,54.64,173.73,6,647103.2143609461
Renault Duster,2014,641397,114491,CNG,Trustmark Dealer,Manual,Second Owner,31.59,2444,153.46,243.62,6,929000.7490902029
Renault Duster,2016,888593,122223,Diesel,Dealer,Manual,Third Owner,10.29,2504,160.82,315.46,4,990762.0644362344
Maruti Swift,2014,207516,136266,Petrol,Individual,Automatic,Second Owner,30.83,894,82.03,294.15,4,284192.3269134268
Volkswagen Polo,2014,365074,189521,Diesel,Dealer,Automatic,Fourth & Above Owner,11.4,1663,134.66,259.27,6,512651.6104377314
Hyundai i20,2010,398045,14450,Electric,Dealer,Manual,Third Owner,29.78,2788,105.99,137.63,4,462844.1214361552
Maruti Swift,2014,811804,99364,LPG,Trustmark Dealer,Automatic,First Owner,17.75,2547,132.82,264.21,6,1085204.25679773
Skoda Rapid,2017,1303409,94423,CNG,Dealer,Manual,Second Owner,17.03,1546,110.77,266.17,6,1647367.9207156673
Hyundai i20,2011,1263698,60351,LPG,Dealer,Automatic,Second Owner,34.71,1504,154.79,116.77,4,1499132.6175779246
Mahindra XUV500,2018,1277112,191509,LPG,Trustmark Dealer,Automatic,First Owner,33.77,930,108.18,204.18,6,1765465.1528367111
Maruti Swift,2012,433493,58455,CNG,Trustmark Dealer,Automatic,Second Owner,14.12,2973,96.62,114.23,4,605759.3204100945
Toyota Innova,2011,303971,25006,LPG,Individual,Manual,Fourth & Above Owner,11.28,2173,182.25,270.43,7,428591.8483141564
Mahindra XUV500,2017,237924,67239,Diesel,Individual,Automatic,Fourth & Above Owner,31.38,1665,62.78,205.85,7,343141.22467093874
Tata Nexon,2009,50000,92612,Petrol,Dealer,Manual,Third Owner,18.53,2008,167.2,265.46,5,59314.4988515496
Maruti Baleno,2021,310702,182230,LPG,Trustmark Dealer,Automatic,First Owner,33.06,868,108.37,188.15,5,394033.7482518375
Honda City,2006,431623,23246,Diesel,Dealer,Manual,Second Owner,28.23,2010,195.26,225.37,7,554966.484506639
Kia Seltos,2006,515977,12112,Diesel,Individual,Automatic,Fourth & Above Owner,21.79,1872,69.89,169.45,5,579805.3492483221
Tata Nexon,2009,762500,86683,CNG,Individual,Automatic,Third Owner,13.14,1618,192.91,191.55,7,1022012.722689342
Maruti Swift,2023,573194,101238,Electric,Dealer,Automatic,Second Owner,27.1,1498,150.22,175.32,4,767289.4249323105
Honda City,2021,724661,31212,LPG,Individual,Manual,First Owner,27.58,977,155.29,213.28,7,1070409.0580116538
Kia Seltos,2015,728175,186769,Diesel,Trustmark Dealer,Manual,Third Owner,29.27,1087,165.52,286.62,5,1054304.4126653806
Hyundai Creta,2023,214539,37808,Diesel,Trustmark Dealer,Manual,First Owner,22.05,1897,196.69,187.58,5,321425.050346513
Mahindra XUV500,2020,1118831,143650,CNG,Individual,Manual,Fourth & Above Owner,15.35,2790,165.4,102.5,5,1232859.3526827616
Hyundai i20,2010,1005077,15312,LPG,Dealer,Automatic,Fourth & Above Owner,19.97,1438,145.5,200.32,5,1158267.442254293
Hyundai i20,2006,628310,103209,Diesel,Individual,Manual,Second Owner,26.31,1547,100.61,341.55,5,700440.6837196975
Skoda Rapid,2021,234020,116757,LPG,Dealer,Automatic,Fourth & Above Owner,10.07,882,119.44,239.01,5,285488.4388493904
Tata Nexon,2015,780925,118794,Diesel,Trustmark Dealer,Automatic,Fourth & Above Owner,17.57,1741,54.68,138.17,7,865308.3533146499
Hyundai i20,2020,1334495,39686,Diesel,Dealer,Automatic,Third Owner,10.14,1456,80.38,102.38,6,1640172.1860012135
Maruti Swift,2020,649746,50037,Electric,Trustmark Dealer,Automatic,Third Owner,29.94,1365,154.78,291.01,6,758006.7888671077
Hyundai i20,2017,1276306,140450,LPG,Dealer,Automatic,First Owner,27.23,1841,130.11,129.64,5,1607152.1888785628
Kia Seltos,2013,515978,147233,Diesel,Trustmark Dealer,Automatic,First Owner,27.97,2024,109.12,205.21,7,673654.7812960068
Maruti Baleno,2005,1058721,151493,Electric,Individual,Automatic,Third Owner,29.92,1326,186.3,108.14,4,1450477.1067590616
Hyundai i20,2023,766750,69941,LPG,Individual,Automatic,Third Owner,18.51,1441,66.61,287.08,4,1099953.6806006522
Tata Nexon,2016,50000,191432,CNG,Trustmark Dealer,Automatic,First Owner,23.1,2073,129.48,123.35,6,59800.15967177377
Mahindra XUV500,2023,767466,95125,Electric,Individual,Manual,Second Owner,15.64,1368,53.76,227.85,5,894359.118399131
Hyundai i20,2023,1380404,8019,CNG,Trustmark Dealer,Manual,Third Owner,15.59,2791,198.08,148.03,6,1671667.6377859716
Kia Seltos,2010,1014997,78159,Diesel,Individual,Automatic,Third Owner,30.23,1238,112.89,113.3,6,1243681.340199935
Hyundai i20,2012,50000,13562,LPG,Individual,Manual,Third Owner,19.55,2185,115.9,222.96,6,65368.86497250447
Toyota Innova,2009,891128,96974,CNG,Individual,Automatic,Fourth & Above Owner,31.8,2033,90.5,194.51,4,1180218.55350188
Maruti Swift,2022,770592,190439,Electric,Dealer,Manual,Fourth & Above Owner,25.03,1820,101.1,348.87,6,861056.3780571993
Maruti Swift,2009,50000,148033,CNG,Individual,Automatic,First Owner,31.54,2189,175.23,308.87,6,60803.67460395465
Kia Seltos,2013,1101285,101700,CNG,Individual,Automatic,First Owner,32.16,1861,161.02,339.15,4,1495594.5699412965
Kia Seltos,2017,300914,65008,Diesel,Individual,Manual,First Owner,31.98,2867,159.43,129.22,7,410928.30509894073
Tata Nexon,2021,1107267,147581,LPG,Individual,Automatic,First Owner,17.37,2225,111.34,163.01,5,1575866.4628634197
Tata Nexon,2012,801871,32508,Petrol,Dealer,Manual,First Owner,17.72,1079,120.58,296.8,7,1084986.851200266
Renault Duster,2006,50000,74369,LPG,Trustmark Dealer,Manual,Second Owner,34.24,1276,176.03,94.11,7,73142.07918451751
Hyundai Creta,2013,564955,94410,CNG,Dealer,Automatic,Second Owner,25.97,1357,187.49,133.54,7,702656.8622675199
Tata Nexon,2008,795638,81977,Electric,Dealer,Manual,First Owner,11.67,1004,186.88,324.26,5,1162285.107530214
Maruti Baleno,2011,1097624,123560,LPG,Individual,Automatic,First Owner,14.32,1233,64.51,220.16,4,1478722.8677174351
Tata Nexon,2013,877683,101947,Petrol,Trustmark Dealer,Automatic,Fourth & Above Owner,26.74,1179,72.23,315.58,4,993254.6177598154
Toyota Innova,2017,50000,180892,Diesel,Trustmark Dealer,Automatic,First Owner,18.61,2896,120.23,291.34,5,57804.866854682914
Renault Duster,2006,685594,157073,Diesel,Trustmark Dealer,Manual,First Owner,18.82,1178,198.15,287.63,7,885309.3678953736
Maruti Baleno,2012,235737,197313,Petrol,Trustmark Dealer,Manual,Second Owner,14.84,955,82.77,150.74,7,341807.5343630706
Maruti Baleno,2019,1122620,128454,LPG,Individual,Manual,First Owner,15.56,1490,199.77,95.2,4,1443873.5720564655
Volkswagen Polo,2010,50000,84520,CNG,Trustmark Dealer,Manual,Fourth & Above Owner,10.98,2265,100.18,145.73,4,64714.00021714313
Renault Duster,2020,1356287,68554,LPG,Individual,Automatic,Second Owner,31.89,1015,57.77,100.26,7,1741240.3403301686
Ford Ecosport,2017,1044581,168151,LPG,Dealer,Manual,Third Owner,17.82,2245,61.76,308.5,4,1293113.0001336052
Tata Nexon,2018,946098,185283,Petrol,Individual,Manual,Third Owner,30.51,1923,139.77,281.98,4,1325132.7399934155
Volkswagen Polo,2016,651875,164517,CNG,Individual,Manual,Third Owner,24.53,2372,189.6,295.1,7,977191.8054429652
Honda City,2011,782522,139550,Electric,Trustmark Dealer,Automatic,First Owner,20.95,1769,108.21,272.59,6,1056158.706340627
Toyota Innova,2015,80905,111991,LPG,Trustmark Dealer,Manual,Fourth & Above Owner,33.32,2781,82.8,332.55,4,106189.50573347714
Tata Nexon,2022,738859,100850,Diesel,Trustmark Dealer,Manual,Third Owner,33.06,1428,107.44,181.35,6,834327.4508933439
Volkswagen Polo,2016,1010725,178721,Diesel,Individual,Automatic,Second Owner,23.35,2207,121.22,162.94,7,1116739.1275247552
Skoda Rapid,2018,358125,152092,LPG,Trustmark Dealer,Manual,Second Owner,29.63,2840,67.69,312.22,6,490571.55653936527
Hyundai i20,2012,629430,17806,LPG,Trustmark Dealer,Automatic,Third Owner,20.13,2006,156.78,268.25,5,939037.8504962923
Hyundai Creta,2021,148514,16107,Electric,Dealer,Automatic,First Owner,18.83,1923,174.42,231.09,6,175490.443924966
Mahindra XUV500,2022,162258,46977,CNG,Dealer,Automatic,Fourth & Above Owner,26.8,2329,96.35,201.31,4,178698.2168172408
Hyundai i20,2023,1006537,109451,Electric,Individual,Manual,Third Owner,23.1,1910,147.67,329.08,6,1396522.7506917825
Tata Nexon,2016,1019923,63828,LPG,Dealer,Manual,First Owner,15.94,1087,92.09,318.94,6,1347510.854527926
Honda City,2015,82937,62030,Diesel,Dealer,Manual,First Owner,11.39,852,73.65,208.32,4,111275.46003318005
Maruti Baleno,2007,910327,69518,LPG,Trustmark Dealer,Automatic,Fourth & Above Owner,27.96,2767,187.03,190.28,4,1217244.532310672
Skoda Rapid,2011,452025,150546,Electric,Trustmark Dealer,Automatic,Second Owner,16.83,2949,59.25,146.58,5,629163.6729055474
Volkswagen Polo,2015,50000,32632,Electric,Individual,Manual,First Owner,32.52,1082,170.62,101.07,4,69383.71876437009
Volkswagen Polo,2008,523235,53850,Electric,Trustmark Dealer,Manual,Second Owner,11.76,1306,125.64,123.84,6,692969.283611609
Skoda Rapid,2018,50000,83341,Petrol,Individual,Manual,Fourth & Above Owner,14.84,1733,98.59,228.07,6,58202.70705806487
Kia Seltos,2008,50000,79538,Diesel,Dealer,Manual,First Owner,15.64,1408,65.33,109.82,5,67673.96776892195
Renault Duster,2016,1013949,92732,CNG,Dealer,Automatic,Fourth & Above Owner,22.48,2029,99.91,343.74,7,1449731.7886905165
Ford Ecosport,2022,1302456,158418,CNG,Trustmark Dealer,Manual,Third Owner,13.32,1486,136.49,315.83,6,1942884.170679116
Hyundai Creta,2007,865901,124719,Electric,Individual,Manual,First Owner,31.92,2626,196.21,115.23,7,1015739.9638852184
Renault Duster,2007,1095520,123818,Electric,Individual,Automatic,Second Owner,24.19,1898,196.16,106.83,4,1465771.366168699
Hyundai i20,2020,166962,75271,Electric,Trustmark Dealer,Manual,Second Owner,20.48,2850,83.16,215.87,4,209884.51195131245
Skoda Rapid,2007,51346,155925,Petrol,Trustmark Dealer,Automatic,First Owner,17.04,2100,185.37,259.85,6,71745.33192171142
Kia Seltos,2019,421225,118174,Petrol,Dealer,Manual,First Owner,11.01,2148,151.94,116.33,6,476654.67314761307
Hyundai i20,2010,728602,163262,CNG,Individual,Automatic,First Owner,12.58,2515,72.97,279.79,4,856464.648411502
Maruti Swift,2010,327329,24519,CNG,Individual,Manual,Fourth & Above Owner,34.49,2331,191.64,116.15,7,404185.9405889002
Hyundai i20,2015,553406,63463,LPG,Individual,Manual,First Owner,19.53,1008,75.9,281.84,5,789081.0840481145
Maruti Baleno,2023,730424,194450,Petrol,Trustmark Dealer,Automatic,First Owner,21.29,819,126.96,190.76,7,888859.7769114919
Skoda Rapid,2023,1307528,87714,Petrol,Individual,Automatic,Second Owner,17.03,2432,60.87,248.88,4,1847445.9803742564
Ford Ecosport,2022,543743,156139,Diesel,Individual,Automatic,Third Owner,11.94,1204,112.69,182.81,4,693224.1305344224
Kia Seltos,2018,1314369,165781,Electric,Trustmark Dealer,Manual,Third Owner,33.13,1714,69.45,328.25,4,1671696.3339788949
Hyundai Creta,2017,701408,19006,Petrol,Trustmark Dealer,Automatic,Second Owner,33.25,802,175.43,307.0,6,947559.4484765478
Mahindra XUV500,2019,421556,176291,Diesel,Individual,Manual,Second Owner,17.15,898,164.41,325.96,5,584514.0207310067
Hyundai Creta,2016,955478,167394,Electric,Trustmark Dealer,Automatic,Fourth & Above Owner,22.23,2916,102.47,229.75,5,1222814.4280638532
Tata Nexon,2012,344384,66489,Diesel,Individual,Manual,Second Owner,29.92,2539,83.5,349.77,6,502331.80221096496
Mahindra XUV500,2015,339911,129385,Petrol,Trustmark Dealer,Manual,Third Owner,26.75,2085,129.56,119.13,7,440246.9355852474
Maruti Baleno,2017,50000,128724,CNG,Individual,Manual,Third Owner,20.17,1059,71.07,98.41,5,55766.38014222164
Renault Duster,2022,1415259,113086,Electric,Individual,Manual,Second Owner,22.81,1778,143.21,271.62,6,1597772.824513972
Ford Ecosport,2020,744652,97021,Electric,Trustmark Dealer,Manual,Second Owner,32.16,1173,198.59,138.36,4,1041837.1031330152
Kia Seltos,2018,785047,137815,Petrol,Dealer,Automatic,Second Owner,20.78,886,155.75,305.3,4,1117562.0037176963
Volkswagen Polo,2019,485593,98748,CNG,Individual,Automatic,Third Owner,14.13,888,168.84,169.31,7,698958.7691826801
Honda City,2011,167368,176589,Electric,Trustmark Dealer,Automatic,First Owner,20.29,2949,193.46,293.58,4,191286.8199871253
Maruti Baleno,2020,498870,125401,Diesel,Trustmark Dealer,Automatic,First Owner,25.8,2876,179.82,137.72,7,653355.6877862044
Maruti Baleno,2015,77665,182821,CNG,Trustmark Dealer,Manual,Third Owner,27.67,2338,138.7,265.22,4,96611.09250726594
Honda City,2019,683822,13745,CNG,Individual,Manual,Fourth & Above Owner,28.53,1488,156.65,90.62,7,921918.4625034448
Mahindra XUV500,2014,1049601,170830,LPG,Trustmark Dealer,Automatic,Second Owner,28.98,837,53.34,228.45,7,1289971.7201378774
Kia Seltos,2021,611396,80539,Electric,Dealer,Manual,Fourth & Above Owner,12.38,2816,107.56,290.39,7,843579.9463422792
Tata Nexon,2006,1183355,133452,CNG,Dealer,Automatic,First Owner,31.68,1763,50.98,320.34,5,1581098.9787326818
Tata Nexon,2008,82299,182472,Petrol,Trustmark Dealer,Automatic,Fourth & Above Owner,33.19,1765,169.42,147.17,7,109366.85500453628
Ford Ecosport,2018,282262,16299,Petrol,Individual,Automatic,Fourth & Above Owner,23.55,2261,113.71,245.96,5,331263.3285983428
Maruti Baleno,2010,1078298,60903,Diesel,Dealer,Manual,Third Owner,32.1,2872,87.49,135.29,4,1414404.1659246534
Hyundai i20,2008,755922,103736,Diesel,Dealer,Automatic,Third Owner,13.72,1732,197.84,185.19,7,905863.7095591836
Hyundai i20,2017,252948,10808,Diesel,Trustmark Dealer,Automatic,Second Owner,18.09,1255,59.72,347.88,4,332311.4253435318
Maruti Baleno,2012,868179,66615,CNG,Dealer,Manual,Fourth & Above Owner,18.77,2436,107.92,315.37,7,1114830.9293439612
Hyundai Creta,2014,463576,31474,CNG,Dealer,Manual,First Owner,22.46,1287,112.13,156.24,7,646629.7695554638
Hyundai i20,2020,1255825,29977,Diesel,Dealer,Automatic,Second Owner,20.35,2894,199.25,189.98,5,1572024.0809306763
Honda City,2009,50000,101950,LPG,Dealer,Manual,Second Owner,34.97,2733,72.41,299.74,7,65394.4215440948
Honda City,2008,83959,12751,Petrol,Trustmark Dealer,Automatic,First Owner,18.42,1780,94.68,204.63,7,108436.11893588924
Ford Ecosport,2019,946926,137825,CNG,Dealer,Automatic,Third Owner,31.17,1139,187.86,289.15,5,1205296.8174381673
Skoda Rapid,2019,933394,187241,Electric,Individual,Automatic,Third Owner,35.0,1408,71.62,245.48,7,1111784.7480241994
Maruti Swift,2019,524831,79002,Diesel,Trustmark Dealer,Manual,First Owner,17.84,2075,154.29,265.17,7,770567.7522323773
Honda City,2009,353095,193114,CNG,Individual,Manual,Fourth & Above Owner,13.48,1293,183.34,95.9,6,478616.44057085086
Maruti Baleno,2016,501625,110391,Diesel,Trustmark Dealer,Manual,Third Owner,32.03,917,56.71,248.79,4,564491.1535711818
Maruti Baleno,2014,391416,58673,LPG,Trustmark Dealer,Automatic,Fourth & Above Owner,31.64,2847,113.61,189.33,4,480612.9334169658
Renault Duster,2016,646976,164232,CNG,Trustmark Dealer,Manual,Third Owner,23.81,1304,67.88,292.99,7,810298.6271291379
Hyundai i20,2022,1355583,147922,LPG,Individual,Manual,First Owner,10.11,1251,72.2,349.63,5,1871062.250874719
Ford Ecosport,2010,746856,67862,Electric,Trustmark Dealer,Manual,Fourth & Above Owner,19.63,2273,195.65,258.35,5,991701.0954383672
Mahindra XUV500,2012,259063,160397,CNG,Trustmark Dealer,Automatic,First Owner,18.49,2462,51.84,315.1,7,341775.63772960065
Maruti Swift,2015,242328,167740,CNG,Individual,Manual,Fourth & Above Owner,20.3,1652,159.22,249.43,7,318167.5869101694
Honda City,2014,247931,37194,Petrol,Individual,Automatic,Second Owner,20.75,2318,164.45,236.76,6,329988.38431114284
Renault Duster,2007,482350,167811,Electric,Individual,Automatic,Fourth & Above Owner,30.7,2693,167.53,249.86,7,562535.6978871458
Kia Seltos,2018,811220,119620,CNG,Trustmark Dealer,Manual,Second Owner,10.51,2860,107.95,160.92,4,1089003.8448293412
Honda City,2020,187292,185541,CNG,Individual,Automatic,First Owner,21.21,990,104.81,150.88,4,254109.1169630272
Honda City,2018,965338,164836,Diesel,Dealer,Automatic,First Owner,25.71,2808,51.19,345.46,4,1386065.9940542532
